X.SampleID	elevation	AGE	Temperature	Precipitation3Days	INBREDS	Maize_Line
11116.A05A067.1197058	125.86	3	54.5	0.91	MS71	Non_Stiff_Stalk
11116.U473A61.1196997	222.59	12	76.0	0.14	CML247	Tropical
11116.C09A65.1194371	237.63	12	76.0	0.14	B73	Stiff_Stalk
11116.L07A077.1194039	260.1	6	66.8	0.85	CML52	Tropical
11116.I05A076.1195402	120.16	6	66.8	0.85	MS71	Non_Stiff_Stalk
11116.I07A104.1196389	120.16	15	74.5	0.01	CML52	Tropical
11116.A09D082.1195664	125.86	8	73.2	0.09	M162W	Non_Stiff_Stalk
11116.L26A091.1197738	260.1	11	76.2	0.21	Tx303	Mixed
11116.I10A105.1197184	120.16	15	74.5	0.01	M162W	Non_Stiff_Stalk
11116.I23A091.1194756	120.16	11	76.2	0.21	B73	Stiff_Stalk
11116.L24A102.1196562	260.1	14	64.1	3.31	CML228	Tropical
11116.L03A091.1196634	260.1	11	76.2	0.21	Ki3	Tropical
11116.L24A119.1195908	260.1	20	49.4	0.63	CML228	Tropical
11116.L04A070.1195935	260.1	4	64.8	0.4	MS71	Non_Stiff_Stalk
11116.C12A63.1195641	237.63	12	76.0	0.14	Il14H	Sweet_Corn
11116.I19A102.1197590	120.16	14	64.1	3.31	CML69	Tropical
11116.L01A087.1197168	260.1	9	71.2	0.03	MS71	Non_Stiff_Stalk
11116.L06A100.1194511	260.1	14	64.1	3.31	Mo17	Non_Stiff_Stalk
11116.U497A63.1195824	222.59	12	76.0	0.14	B73	Stiff_Stalk
11116.I25A119.1198455	120.16	20	49.4	0.63	P39	Sweet_Corn
11116.A15D079.1195052	125.86	7	80.0	0.0	Mo17	Non_Stiff_Stalk
11116.I03A065.1194028	120.16	2	69.2	0.47	Ky21	Non_Stiff_Stalk
11116.L20A072.1197129	260.1	4	64.8	0.4	NC358	Tropical
11116.L25A090.1197313	260.1	10	69.5	0.12	P39	Sweet_Corn
11116.A27B082.1195286	125.86	8	73.2	0.09	CML333	Tropical
11116.I28A083.1196054	120.16	8	73.2	0.09	Mo17	Non_Stiff_Stalk
11116.I29A120.1196473	120.16	20	49.4	0.63	CML322	Tropical
11116.L17A098.1196170	260.1	13	68.3	0.07	CML103	Tropical
11116.I06A086.1197790	120.16	9	71.2	0.03	Mo17	Non_Stiff_Stalk
11116.A05B064.1196973	125.86	2	69.2	0.47	Mo18W	Mixed
11116.L11A077.1194677	260.1	6	66.8	0.85	NC350	Tropical
11116.L16A084.1196445	260.1	8	73.2	0.09	CML103	Tropical
11116.L10A091.1195007	260.1	11	76.2	0.21	CML277	Tropical
11116.L21A077.1193938	260.1	6	66.8	0.85	Oh7B	Non_Stiff_Stalk
11116.I21A096.1193817	120.16	12	76.0	0.14	NC358	Tropical
11116.I13A078.1197328	120.16	6	66.8	0.85	Mo18W	Mixed
11116.I18A099.1195841	120.16	13	68.3	0.07	B97	Non_Stiff_Stalk
11116.L23A094.1195030	260.1	12	76.0	0.14	B73	Stiff_Stalk
11116.I26A105.1194393	120.16	15	74.5	0.01	CML333	Tropical
11116.L04A094.1196377	260.1	12	76.0	0.14	MS71	Non_Stiff_Stalk
11116.L32A101.1195365	260.1	14	64.1	3.31	M37W	Mixed
11116.A10D085.1193664	125.86	9	71.2	0.03	Tx303	Mixed
11116.I20A065.1197929	120.16	2	69.2	0.47	Hp301	Popcorn
11116.I05A118.1194233	120.16	20	49.4	0.63	MS71	Non_Stiff_Stalk
11116.L09A066.1196076	260.1	2	69.2	0.47	M162W	Non_Stiff_Stalk
11116.I19A098.1194505	120.16	13	68.3	0.07	CML69	Tropical
11116.A06A076.1193863	125.86	6	66.8	0.85	Mo17	Non_Stiff_Stalk
11116.U477A63.1197639	222.59	12	76.0	0.14	CML277	Tropical
11116.A21B097.1198404	125.86	13	68.3	0.07	Oh7B	Non_Stiff_Stalk
11116.I09A071.1195898	120.16	4	64.8	0.4	Il14H	Sweet_Corn
11116.I20A086.1195931	120.16	9	71.2	0.03	Hp301	Popcorn
11116.A12C103.1196971	125.86	15	74.5	0.01	B73	Stiff_Stalk
11116.L03A068.1194466	260.1	3	54.5	0.91	Ki3	Tropical
11116.L27A118.1197503	260.1	20	49.4	0.63	CML333	Tropical
11116.I07A081.1198376	120.16	7	80.0	0.0	CML52	Tropical
