"id"	"tr1_mse"	"tr1_smape"	"tr2_mse"	"tr2_smape"	"diff_mse"	"diff_smape"	"group_mse"	"group_smape"	"elevation"	"AGE"	"Temperature"	"Precipitation3Days"	"INBREDS"	"Maize_Line"	"def_mse"	"def_smape"
"11116.L08A075.1193955"	"0.00453929324982375"	"71.2285352045022"	"0.00426094139755453"	"72.0510233290913"	" 2.783519e-04"	" -0.822488125"	"worse"	"similar"	"260.1"	"5"	"67.7"	"0.07"	"Il14H"	"Sweet_Corn"	"0.00353642738550661"	"66.7639419744774"
"11116.L08A076.1198333"	"0.0025542349930518"	"59.4967860950134"	"0.00223438377956197"	"56.0842389137877"	" 3.198512e-04"	"  3.412547181"	"worse"	"worse"	"260.1"	"6"	"66.8"	"0.85"	"Il14H"	"Sweet_Corn"	"0.00215298050429817"	"50.3370321258043"
"11116.L08A105.1196972"	"1.54445929627918e-05"	"86.0598875442049"	"0.000140543047911777"	"85.7692666337904"	"-1.250985e-04"	"  0.290620910"	"better"	"similar"	"260.1"	"15"	"74.5"	"0.01"	"Il14H"	"Sweet_Corn"	"0.000894328646035637"	"90.2795147340217"
"11116.L09A066.1196076"	"0.00200941266863217"	"50.0729122915686"	"0.00313336621068956"	"55.8337502414684"	"-1.123954e-03"	" -5.760837950"	"better"	"better"	"260.1"	"2"	"69.2"	"0.47"	"M162W"	"Non_Stiff_Stalk"	"0.00664801174347097"	"60.5575534416779"
"11116.L09A078.1195117"	"0.00536574099919719"	"82.6489602390467"	"0.00204998422260678"	"76.7021990097866"	" 3.315757e-03"	"  5.946761229"	"worse"	"worse"	"260.1"	"6"	"66.8"	"0.85"	"M162W"	"Non_Stiff_Stalk"	"0.00185316712093363"	"71.6446205668855"
"11116.L09A091.1197835"	"5.61099187158626e-05"	"92.9458898793538"	"0.000252899672734352"	"93.8985058326665"	"-1.967898e-04"	" -0.952615953"	"better"	"similar"	"260.1"	"11"	"76.2"	"0.21"	"M162W"	"Non_Stiff_Stalk"	"0.000972539051037562"	"93.5470386380831"
"11116.L09A097.1198277"	"2.20458128585391e-05"	"71.5842093429631"	"0.000188122378891017"	"77.3164074417335"	"-1.660766e-04"	" -5.732198099"	"better"	"better"	"260.1"	"13"	"68.3"	"0.07"	"M162W"	"Non_Stiff_Stalk"	"0.000916238317505138"	"86.0379059055603"
"11116.L10A064.1196041"	"0.000954188988157683"	"48.594830440376"	"0.00151081978204881"	"55.5667961756226"	"-5.566308e-04"	" -6.971965735"	"better"	"better"	"260.1"	"2"	"69.2"	"0.47"	"CML277"	"Tropical"	"0.00502530230183022"	"58.7664693773441"
"11116.L10A084.1196769"	"0.00195906299156476"	"76.5872404589349"	"0.00107408846069201"	"64.4153812115471"	" 8.849745e-04"	" 12.171859247"	"worse"	"worse"	"260.1"	"8"	"73.2"	"0.09"	"CML277"	"Tropical"	"0.000997210243952144"	"56.5059432992558"
"11116.L10A091.1195007"	"0.000418106263353385"	"72.6583881317518"	"0.000451292303625742"	"75.8979968745274"	"-3.318604e-05"	" -3.239608743"	"similar"	"better"	"260.1"	"11"	"76.2"	"0.21"	"CML277"	"Tropical"	"0.000941961719209142"	"79.6799777658753"
"11116.L11A069.1194228"	"0.00331308180983669"	"58.148229618299"	"0.00242184193736576"	"60.4888797375944"	" 8.912399e-04"	" -2.340650119"	"worse"	"better"	"260.1"	"3"	"54.5"	"0.91"	"NC350"	"Tropical"	"0.00269416317599311"	"52.4325342957909"
"11116.L11A079.1195454"	"0.00248383620065291"	"54.3798557225468"	"0.00162386944205116"	"54.4387665042513"	" 8.599668e-04"	" -0.058910782"	"worse"	"similar"	"260.1"	"7"	"80"	"0"	"NC350"	"Tropical"	"0.00180777981902572"	"48.9254272242332"
"11116.L11A084.1195839"	"0.0057248655166778"	"83.341956009506"	"0.00432644756996693"	"71.1860839153155"	" 1.398418e-03"	" 12.155872094"	"worse"	"worse"	"260.1"	"8"	"73.2"	"0.09"	"NC350"	"Tropical"	"0.00405016513752852"	"62.0635841636347"
"11116.L11A086.1195419"	"7.02228266601404e-05"	"62.4588876915141"	"0.000375797282649115"	"71.1194485406136"	"-3.055745e-04"	" -8.660560849"	"better"	"better"	"260.1"	"9"	"71.2"	"0.03"	"CML103"	"Tropical"	"0.000736206591975536"	"75.9583368965973"
"11116.L11A091.1195922"	"7.80158133024789e-05"	"85.4169601711091"	"0.000216996478976484"	"88.9374943527972"	"-1.389807e-04"	" -3.520534182"	"better"	"better"	"260.1"	"11"	"76.2"	"0.21"	"NC350"	"Tropical"	"0.000906455784550057"	"91.0539218800758"
"11116.L11A104.1197701"	"5.56599266875524e-05"	"93.5206738764304"	"0.000125507019160059"	"92.8532132153805"	"-6.984709e-05"	"  0.667460661"	"similar"	"similar"	"260.1"	"15"	"74.5"	"0.01"	"NC350"	"Tropical"	"0.000965688787808453"	"94.9685444085448"
"11116.L12A073.1198323"	"0.00229774076744261"	"78.2377853458853"	"0.00199927366382828"	"77.8487599232769"	" 2.984671e-04"	"  0.389025423"	"worse"	"similar"	"260.1"	"5"	"67.7"	"0.07"	"B73"	"Stiff_Stalk"	"0.00179918878401327"	"71.8924283734192"
"11116.L12A090.1194257"	"0.000374821479952508"	"61.6864970610733"	"0.000302408087218198"	"58.0514694760388"	" 7.241339e-05"	"  3.635027585"	"similar"	"worse"	"260.1"	"10"	"69.5"	"0.12"	"B73"	"Stiff_Stalk"	"0.000373873586399709"	"55.2089484274508"
"11116.L12A095.1195179"	"4.77504081755509e-05"	"92.4192761650316"	"0.000183203579727281"	"92.6957182682518"	"-1.354532e-04"	" -0.276442103"	"better"	"similar"	"260.1"	"12"	"76"	"0.14"	"B73"	"Stiff_Stalk"	"0.000987078097793221"	"94.7734534095681"
"11116.L13A068.1195003"	"0.000876242325809269"	"64.129375146334"	"0.00211708450571268"	"67.9452438062204"	"-1.240842e-03"	" -3.815868660"	"better"	"better"	"260.1"	"3"	"54.5"	"0.91"	"B97"	"Non_Stiff_Stalk"	"0.00050630665804887"	"54.1344141869952"
"11116.L13A095.1196416"	"0.000245571018772059"	"61.0348114273382"	"0.000343338568709909"	"65.1285227354663"	"-9.776755e-05"	" -4.093711308"	"similar"	"better"	"260.1"	"12"	"76"	"0.14"	"B97"	"Non_Stiff_Stalk"	"0.000831146259224702"	"67.7211306134596"
